"input_type","file_name","relative_path","version","file_size_bytes","modified_at","sha256","status","note"
"adam","adae.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adae.sas7bdat","","1966080","2026-08-07T14:26:01","398C1E2778382E3AEE0247C826B6E45AA248FF34A2A665EA0D5B113854129EE5","available","已移入 study input 目录。"
"adam","adaw.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adaw.sas7bdat","","524288","2026-08-07T14:26:01","4916A5DA56D29D71A564F043A7F7BD7015FD67929A272565F06259FBC5F089D4","available","已移入 study input 目录。"
"adam","adcm.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adcm.sas7bdat","","2228224","2026-08-07T14:26:01","4523BC5BF17B1914C8FEEC11E4FEDF9A5C775A613943A7FFBEE34CF2F6794B0A","available","已移入 study input 目录。"
"adam","adcv.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adcv.sas7bdat","","786432","2026-08-07T14:26:01","BD5A4A71B090325101DBBDDF2A39853AAE204D7DC49985C72FA2BAA192CEED8C","available","已移入 study input 目录。"
"adam","addv.sas7bdat","studies\fcn_159_002_skilltest\input\adam\addv.sas7bdat","","7249920","2026-08-07T14:26:02","A53E4B375E03CC8D8F74867E9D0CEF9690FF57D30902B5C8DFD66AE526994B70","available","已移入 study input 目录。"
"adam","adeff.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adeff.sas7bdat","","13893632","2026-08-07T14:26:02","46CF7B5BB0A9A41A38195E55B2F96050D6B5199F6861A407F9A814D6DE6686CD","available","已移入 study input 目录。"
"adam","adeg.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adeg.sas7bdat","","323297280","2026-08-07T14:26:03","8F1D7D266D0D18521AC694B1D0908C2B9A24040F74BF3923732DD6C4D97D74AC","available","已移入 study input 目录。"
"adam","adex.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adex.sas7bdat","","19922944","2026-08-07T14:26:09","1120722C7AEB396C8174C7E94D03E286CF4EE681D825B00AA4D1B4863A5E2674","available","已移入 study input 目录。"
"adam","adexsum.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adexsum.sas7bdat","","3932160","2026-08-07T14:26:10","21D6B1860C4C33C3E4CD732D2F7535381EC616946BB0D218B783AF6DCA69256D","available","已移入 study input 目录。"
"adam","adft.sas7bdat","studies\fcn_159_002_skilltest\input\adam\adft.sas7bdat","","4849664","2026-08-07T14:26:11","7542CD42041E864857A2CCFDE9091A85841EF1EADD159BCC4262CF62E5D02446","available","已移入 study input 目录。"
