"tfl_id","title","PARAMCD","source_paramcd","parameter","covariance_used","model_rds","status","note_cn","AVISITN_F","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2005",-0.982101650122156,0.239176176497821,44.1802645969183,-1.46407401671163,-0.500129283532683,-4.10618509126934,0.000170991525101115
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2009",-0.958062532838644,0.281470852840413,43.9933693524189,-1.52533217765399,-0.3907928880233,-3.40377173398428,0.00142723847401524
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2013",-0.990733476176681,0.299486574615242,43.4732187222507,-1.59451564813099,-0.386951304222376,-3.30810647338533,0.00189204714305821
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2017",-1.39285551443564,0.271287899169381,44.3949784975367,-1.93946299270716,-0.846248036164126,-5.13423384787982,6.05772480374042e-06
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2021",-1.30684657403455,0.215636754379372,44.015064902528,-1.74142969550249,-0.872263452566607,-6.06040736328001,2.74732189058698e-07
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERPW","OVERPW","总体疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2025",-1.22391081183748,0.322138187654187,43.521777489126,-1.87333921925034,-0.574482404424624,-3.79933475366584,0.000446406966766056
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERTPW","OVERTPW","总体肿瘤疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERTPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2005",-1.01033388304256,0.23374956284368,44.0812706261802,-1.48140064270012,-0.539267123385008,-4.3222920751224,8.67519314631293e-05
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERTPW","OVERTPW","总体肿瘤疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERTPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2009",-1.23086844338891,0.185026217796486,44.0057545882178,-1.60376290587651,-0.857973980901308,-6.65240017359466,3.69988719279943e-08
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERTPW","OVERTPW","总体肿瘤疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERTPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2013",-1.12220385458147,0.278676661322478,42.9573512746391,-1.68422503979864,-0.560182669364305,-4.02690289619512,0.000225859053933601
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERTPW","OVERTPW","总体肿瘤疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERTPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2017",-1.37568514842778,0.262116619304765,43.8655495784234,-1.90399221942489,-0.847378077430675,-5.24837056145709,4.25977133878311e-06
"14.2.11.2","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","OVERTPW","OVERTPW","总体肿瘤疼痛","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_11_2_OVERTPW_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2021",-1.30737110050415,0.210698902608835,44.0874586657544,-1.7319830457889,-0.882759155219396,-6.20492600728584,1.67340149755204e-07
