"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"总体疼痛","OVERPW","基线[1]",46,"2.11（2.24）","2.00","0.00，7.00",,"","","","","","","","","","描述统计"
"总体疼痛","OVERPW","周期 5",45,"1.11（1.79）","0.00","0.00，7.00",45,"-0.98（2.18）","0.00","-7.00，3.00","-0.98（0.24）","-1.46，-0.50","44.2","-4.11","<0.001","UN","partial"
"总体疼痛","OVERPW","周期 9",46,"1.15（1.95）","0.00","0.00，10.00",46,"-0.96（2.56）","-1.00","-7.00，6.00","-0.96（0.28）","-1.53，-0.39","44.0","-3.40","0.001","UN","partial"
"总体疼痛","OVERPW","周期 13",45,"1.09（2.07）","0.00","0.00，10.00",45,"-1.02（2.63）","0.00","-7.00，6.00","-0.99（0.30）","-1.59，-0.39","43.5","-3.31","0.002","UN","partial"
"总体疼痛","OVERPW","周期 17",42,"0.69（1.85）","0.00","0.00，10.00",42,"-1.43（2.71）","0.00","-7.00，6.00","-1.39（0.27）","-1.94，-0.85","44.4","-5.13","<0.001","UN","partial"
"总体疼痛","OVERPW","周期 21",42,"0.79（1.46）","0.00","0.00，6.00",42,"-1.33（2.50）","0.00","-7.00，3.00","-1.31（0.22）","-1.74，-0.87","44.0","-6.06","<0.001","UN","partial"
"总体疼痛","OVERPW","周期 25",42,"0.86（2.17）","0.00","0.00，10.00",42,"-1.26（2.83）","-0.50","-7.00，8.00","-1.22（0.32）","-1.87，-0.57","43.5","-3.80","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","基线[1]",46,"1.98（2.33）","1.00","0.00，7.00",,"","","","","","","","","","描述统计"
"总体肿瘤疼痛","OVERTPW","周期 5",45,"0.96（1.76）","0.00","0.00，7.00",45,"-1.00（2.21）","0.00","-7.00，3.00","-1.01（0.23）","-1.48，-0.54","44.1","-4.32","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","周期 9",46,"0.76（1.37）","0.00","0.00，5.00",46,"-1.22（2.15）","-0.50","-7.00，3.00","-1.23（0.19）","-1.60，-0.86","44.0","-6.65","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","周期 13",45,"0.82（1.92）","0.00","0.00，10.00",45,"-1.16（2.58）","0.00","-7.00，6.00","-1.12（0.28）","-1.68，-0.56","43.0","-4.03","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","周期 17",42,"0.57（1.81）","0.00","0.00，10.00",42,"-1.45（2.70）","0.00","-7.00，6.00","-1.38（0.26）","-1.90，-0.85","43.9","-5.25","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","周期 21",42,"0.67（1.44）","0.00","0.00，6.00",42,"-1.36（2.50）","0.00","-7.00，3.00","-1.31（0.21）","-1.73，-0.88","44.1","-6.20","<0.001","UN","partial"
"总体肿瘤疼痛","OVERTPW","周期 25",42,"0.83（2.16）","0.00","0.00，10.00",42,"-1.19（2.90）","0.00","-7.00，8.00","-1.04（0.33）","-1.72，-0.37","41.2","-3.14","0.003","UN","partial"
