"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"家长报告的平均疼痛干扰","PAINPR","基线[1]",38,"0.38（0.70）","0.00","0.00，3.50",,"","","","","","","","","","描述统计"
"家长报告的平均疼痛干扰","PAINPR","周期 5",37,"0.48（0.97）","0.00","0.00，3.20",37,"0.10（0.83）","0.00","-1.60，2.80","0.11（0.13）","-0.16，0.38","35.3","0.82","0.415","UN","partial"
"家长报告的平均疼痛干扰","PAINPR","周期 9",37,"0.43（0.91）","0.00","0.00，3.30",37,"0.04（0.89）","0.00","-1.30，3.30","0.06（0.14）","-0.23，0.34","35.3","0.40","0.689","UN","partial"
"家长报告的平均疼痛干扰","PAINPR","周期 13",36,"0.45（1.17）","0.00","0.00，5.00",36,"0.06（1.00）","0.00","-1.80，4.80","0.07（0.17）","-0.27，0.40","35.9","0.41","0.684","UN","partial"
"家长报告的平均疼痛干扰","PAINPR","周期 17",35,"0.37（0.75）","0.00","0.00，2.80",35,"0.07（0.66）","0.00","-0.80，2.50","0.08（0.11）","-0.14，0.31","35.1","0.76","0.451","UN","partial"
"家长报告的平均疼痛干扰","PAINPR","周期 21",31,"0.50（0.93）","0.00","0.00，3.20",31,"0.23（0.90）","0.00","-1.80，3.00","0.14（0.16）","-0.20，0.47","24.8","0.83","0.416","UN","partial"
"家长报告的平均疼痛干扰","PAINPR","周期 25",31,"0.29（0.80）","0.00","0.00，3.70",31,"-0.02（0.69）","0.00","-1.80，2.20","0.00（0.13）","-0.27，0.28","20.7","0.02","0.984","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","基线[1]",44,"0.31（0.56）","0.00","0.00，2.30",,"","","","","","","","","","描述统计"
"患者报告的平均疼痛干扰","PAINTE","周期 5",43,"0.35（0.76）","0.00","0.00，3.50",43,"0.03（0.65）","0.00","-1.60，2.10","0.04（0.10）","-0.16，0.24","41.7","0.39","0.698","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","周期 9",44,"0.37（0.83）","0.00","0.00，3.50",44,"0.06（0.72）","0.00","-1.30，3.50","0.07（0.11）","-0.15，0.28","42.0","0.60","0.551","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","周期 13",42,"0.30（0.59）","0.00","0.00，2.30",42,"0.03（0.55）","0.00","-1.50，1.60","0.01（0.08）","-0.15，0.17","39.4","0.12","0.906","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","周期 17",40,"0.28（0.62）","0.00","0.00，2.00",40,"0.03（0.68）","0.00","-1.80，2.00","0.02（0.10）","-0.18，0.21","39.6","0.16","0.870","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","周期 21",37,"0.18（0.52）","0.00","0.00，2.30",37,"-0.09（0.69）","0.00","-1.50，2.00","-0.11（0.09）","-0.29，0.06","32.0","-1.30","0.204","UN","partial"
"患者报告的平均疼痛干扰","PAINTE","周期 25",39,"0.28（0.91）","0.00","0.00，4.20",39,"0.03（0.73）","0.00","-1.50，3.50","0.05（0.13）","-0.21，0.31","25.0","0.39","0.698","UN","partial"
