"tfl_id","field","approved_value","ai_candidate","status","question","source_trace","statistician_comment"
"14.2.10.1.2","analysis_population","COA分析集; COAFL == 'Y'","COAFL == 'Y'","confirmed","","shell title; ADaM columns include COAFL and COA01FL-COA10FL; statistician_comment confirmed","COA分析集; COAFL == 'Y'"
"14.2.10.1.2","dataset","adqssum","adqssum","confirmed","","ADQSSUM/QSSUMPARAM; shell lines 1063-1114; statistician_comment confirmed","接受AI建议"
"14.2.10.1.2","paramcd","PedsQL按报告者和分量表合并年龄版本后建模：受试者报告总分=TS1/TS2，家长报告总分=TS3/TS4/TS5/TS6；生理功能、情感功能、社交功能、学校表现同理按 PF/EF/SOF/SCF 的 1/2 与 3/4/5/6 合并。","TS1/TS2/TS3/TS4/TS5/TS6 and PF/EF/SOF/SCF variants","confirmed","","SAP 4.6.3 says 分别对受试者报告和家长报告的PedsQL汇总并分析总分和分量表分数; shell lines 1063-1114 use <受试者报告/家长报告> and <重复其他分量表>; statistician_comment corrected merge rule","PedsQL按报告者和分量表合并年龄版本后建模"
"14.2.10.1.2","response","CHG","CHG","confirmed","","MMRM footnote says 以相对基线变化值为因变量; SAS model CHG = ...",""
"14.2.10.1.2","model_terms","AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)","confirmed","","shell SAS code: class avisitn region usubjid; model CHG = avisitn region base base*avisitn/ddfm=kenwardroger",""
"14.2.10.1.2","covariance","UN; fallback AR(1)","UN then AR(1)","confirmed","","shell footnote: 无结构型方差结构（UN），不收敛则其他协方差结构例如AR(1)",""
"14.2.10.1.2","model_package","mmrm","mmrm","confirmed","","skill mandatory rule",""
"14.2.11.2","analysis_population","COA分析集; COAFL == 'Y'","COAFL == 'Y'","confirmed","","shell title; ADSL/ADaM COA flags; statistician_comment confirmed","COA分析集; COAFL == 'Y'"
"14.2.11.2","dataset","adqssum","adqssum","confirmed","","ADQSSUM scan; shell lines 1138-1152; statistician_comment confirmed","接受AI建议"
"14.2.11.2","paramcd","OVERPW; OVERTPW","OVERPW; OVERTPW; possibly PTOTW in ADQS only","confirmed","","ADQSSUM has OVERPW/OVERTPW; dataset confirmed as ADQSSUM; PTOTW excluded because candidate note says ADQS only and dataset was confirmed as ADQSSUM","OVERPW; OVERTPW"
"14.2.11.2","response","CHG","CHG","confirmed","","shell footnote and SAS model",""
"14.2.11.2","model_terms","AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)","confirmed","","shell SAS code",""
"14.2.11.2","covariance","UN; fallback AR(1)","UN then AR(1)","confirmed","","shell footnote",""
"14.2.11.2","model_package","mmrm","mmrm","confirmed","","skill mandatory rule",""
"14.2.12.1.2","analysis_population","COA分析集; COAFL == 'Y'","COAFL == 'Y'","confirmed","","shell title; ADaM COA flags; statistician_comment confirmed","COA分析集; COAFL == 'Y'"
"14.2.12.1.2","dataset","adqssum","adqssum","confirmed","","ADQSSUM scan; shell lines 1216-1231; statistician_comment confirmed","接受AI建议"
"14.2.12.1.2","paramcd","PAINPR; PAINTE","PAINPR; PAINTE","confirmed","","ADQSSUM PARAM/PARAMCD scan; shell programming note mentions 家长报告/患者报告; statistician_comment confirmed","接受AI建议"
"14.2.12.1.2","response","CHG","CHG","confirmed","","shell footnote and SAS model",""
"14.2.12.1.2","model_terms","AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)","confirmed","","shell SAS code",""
"14.2.12.1.2","covariance","UN; fallback AR(1)","UN then AR(1)","confirmed","","shell footnote",""
"14.2.12.1.2","model_package","mmrm","mmrm","confirmed","","skill mandatory rule",""
"14.2.13.1.2","analysis_population","COA分析集; COAFL == 'Y'","COAFL == 'Y'","confirmed","","shell title; ADSL/ADaM COA flags; statistician_comment confirmed","COA分析集; COAFL == 'Y'"
"14.2.13.1.2","dataset","admk","admk","confirmed","","ADMK scan; shell lines 1243-1247; statistician_comment confirmed","接受AI建议"
"14.2.13.1.2","paramcd","KENDTEN","KENDTEN","confirmed","","ADMK scan; statistician_comment confirmed","接受AI建议"
"14.2.13.1.2","response","CHG","CHG","confirmed","","shell footnote",""
"14.2.13.1.2","model_terms","AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)","confirmed","","shell lines 1243-1247; statistician_comment confirmed that COA MMRM SAS structure is reused","AVISITN + REGION + BASE + BASE*AVISITN"
"14.2.13.1.2","covariance","UN; fallback AR(1)","UN","confirmed","","shell lines 1243-1247; statistician_comment confirmed fallback is reused","UN; fallback AR(1)"
"14.2.13.1.2","model_package","mmrm","mmrm","confirmed","","skill mandatory rule",""
"14.2.14.1.2","analysis_population","COA分析集; COAFL == 'Y'","COAFL == 'Y'","confirmed","","shell title; ADSL/ADaM COA flags; statistician_comment confirmed","COA分析集; COAFL == 'Y'"
"14.2.14.1.2","dataset","admk","admk","confirmed","","ADMK scan; shell lines 1262-1265; statistician_comment confirmed","接受AI建议"
"14.2.14.1.2","paramcd","SUMALL; SUMNECK; SUMHIP; SUMSHOU; SUMELBOW; SUMWRIST; SUMKNEE; SUMANKLE","SUMALL; SUMNECK; SUMHIP; SUMSHOU; SUMELBOW; SUMWRIST; SUMKNEE; SUMANKLE; plus joint-level PARAMCD","confirmed","","ADMK scan; shell programming note says 增加所有关节汇总“所有位置”; statistician_comment confirmed listed summary/location PARAMCD","SUMALL; SUMNECK; SUMHIP; SUMSHOU; SUMELBOW; SUMWRIST; SUMKNEE; SUMANKLE"
"14.2.14.1.2","response","CHG","CHG","confirmed","","shell footnote",""
"14.2.14.1.2","model_terms","AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)","confirmed","","shell lines 1262-1265; statistician_comment confirmed that COA MMRM SAS structure is reused","AVISITN + REGION + BASE + BASE*AVISITN"
"14.2.14.1.2","covariance","UN; fallback AR(1)","UN","confirmed","","shell lines 1262-1265; statistician_comment confirmed fallback is reused","UN; fallback AR(1)"
"14.2.14.1.2","model_package","mmrm","mmrm","confirmed","","skill mandatory rule",""
