"input_type","file_name","relative_path","version","file_size_bytes","modified_at","sha256","status","note","extraction_status","extraction_format","extractor_id","extractor_version","extracted_at_utc","extraction_note"
"source_material","FCN159-002 ADaM Specification v0.1.xlsx","input/adam-spec/FCN159-002 ADaM Specification v0.1.xlsx","current",1694679,"2026-07-02T05:41:29Z","8443279B9A9C1736C80CFDA70A941E14AA46AC58829CCDF247CCE6B9C3582073","registered_input","auto_registered_by_generate_intake_review","succeeded","xlsx","readxl","1.5.0","2026-08-25T08:19:30Z","已在运行期临时目录抽取；扫描结束后删除。"
"source_material","adae.sas7bdat","input/adam/adae.sas7bdat","current",1966080,"2026-08-07T06:26:01Z","398C1E2778382E3AEE0247C826B6E45AA248FF34A2A665EA0D5B113854129EE5","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adaw.sas7bdat","input/adam/adaw.sas7bdat","current",524288,"2026-08-07T06:26:01Z","4916A5DA56D29D71A564F043A7F7BD7015FD67929A272565F06259FBC5F089D4","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adcm.sas7bdat","input/adam/adcm.sas7bdat","current",2228224,"2026-08-07T06:26:01Z","4523BC5BF17B1914C8FEEC11E4FEDF9A5C775A613943A7FFBEE34CF2F6794B0A","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adcv.sas7bdat","input/adam/adcv.sas7bdat","current",786432,"2026-08-07T06:26:01Z","BD5A4A71B090325101DBBDDF2A39853AAE204D7DC49985C72FA2BAA192CEED8C","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","addv.sas7bdat","input/adam/addv.sas7bdat","current",7249920,"2026-08-07T06:26:02Z","A53E4B375E03CC8D8F74867E9D0CEF9690FF57D30902B5C8DFD66AE526994B70","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adeff.sas7bdat","input/adam/adeff.sas7bdat","current",13893632,"2026-08-07T06:26:02Z","46CF7B5BB0A9A41A38195E55B2F96050D6B5199F6861A407F9A814D6DE6686CD","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adeg.sas7bdat","input/adam/adeg.sas7bdat","current",323297280,"2026-08-07T06:26:03Z","8F1D7D266D0D18521AC694B1D0908C2B9A24040F74BF3923732DD6C4D97D74AC","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adex.sas7bdat","input/adam/adex.sas7bdat","current",19922944,"2026-08-07T06:26:09Z","1120722C7AEB396C8174C7E94D03E286CF4EE681D825B00AA4D1B4863A5E2674","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adexsum.sas7bdat","input/adam/adexsum.sas7bdat","current",3932160,"2026-08-07T06:26:10Z","21D6B1860C4C33C3E4CD732D2F7535381EC616946BB0D218B783AF6DCA69256D","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adft.sas7bdat","input/adam/adft.sas7bdat","current",4849664,"2026-08-07T06:26:11Z","7542CD42041E864857A2CCFDE9091A85841EF1EADD159BCC4262CF62E5D02446","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","adlb.sas7bdat","input/adam/adlb.sas7bdat","current",44564480,"2026-08-07T06:26:11Z","F2836B71E92E32373146D66E70AC7B5F77F20394F5285288D5B02D7AB02A47EB","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","admh.sas7bdat","input/adam/admh.sas7bdat","current",524288,"2026-08-07T06:26:12Z","645A0F6E024AB320BAF4BF89F7C434120D318CC2C3161F0AEF6AD2BC01F6CF97","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
"source_material","admk.sas7bdat","input/adam/admk.sas7bdat","current",38666240,"2026-08-07T06:26:12Z","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","registered_input","auto_registered_by_generate_intake_review","not_required","sas7bdat","native","","","非文本扫描格式；由其它流程处理或不参与 TFL 文本发现。"
