"analysis_id","tfl_id","analysis_group_id","analysis_group_label","row_type","estimand","treatment","contrast","visit","observed_n","observed_mean","observed_sd","observed_median","observed_min","observed_max","baseline_n","baseline_mean","baseline_sd","mmrm_estimate","standard_error","confidence_interval","degrees_of_freedom","statistic","p_value","covariance_used"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2005","45","-0.978","2.179","0.000","-7.000","3.000","45","2.089","2.265","-0.982","0.239","(-1.464, -0.500)","44.2","-4.106","0.0002","UN"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2009","46","-0.957","2.564","-1.000","-7.000","6.000","46","2.109","2.243","-0.958","0.281","(-1.525, -0.391)","44.0","-3.404","0.0014","UN"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2013","45","-1.022","2.633","0.000","-7.000","6.000","45","2.111","2.269","-0.991","0.299","(-1.595, -0.387)","43.5","-3.308","0.0019","UN"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2017","42","-1.429","2.706","0.000","-7.000","6.000","42","2.119","2.340","-1.393","0.271","(-1.939, -0.846)","44.4","-5.134","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2021","42","-1.333","2.496","0.000","-7.000","3.000","42","2.119","2.340","-1.307","0.216","(-1.741, -0.872)","44.0","-6.060","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERPW","OVERPW","observed_with_mmrm","visit_lsmean","ALL","","2025","42","-1.262","2.829","-0.500","-7.000","8.000","42","2.119","2.340","-1.224","0.322","(-1.873, -0.574)","43.5","-3.799","0.0004","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2005","45","-1.000","2.205","0.000","-7.000","3.000","45","1.956","2.354","-1.010","0.234","(-1.481, -0.539)","44.1","-4.322","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2009","46","-1.217","2.149","-0.500","-7.000","3.000","46","1.978","2.333","-1.231","0.185","(-1.604, -0.858)","44.0","-6.652","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2013","45","-1.156","2.585","0.000","-7.000","6.000","45","1.978","2.360","-1.122","0.279","(-1.684, -0.560)","43.0","-4.027","0.0002","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2017","42","-1.452","2.698","0.000","-7.000","6.000","42","2.024","2.414","-1.376","0.262","(-1.904, -0.847)","43.9","-5.248","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2021","42","-1.357","2.497","0.000","-7.000","3.000","42","2.024","2.414","-1.307","0.211","(-1.732, -0.883)","44.1","-6.205","<0.0001","UN"
"MMRM-02","T14-2-11-2","OVERTPW","OVERTPW","observed_with_mmrm","visit_lsmean","ALL","","2025","42","-1.190","2.899","0.000","-7.000","8.000","42","2.024","2.414","-1.045","0.333","(-1.716, -0.373)","41.2","-3.139","0.0031","UN"
