"analysis_id","tfl_id","analysis_group_id","analysis_group_label","row_type","estimand","treatment","contrast","visit","observed_n","observed_mean","observed_sd","observed_median","observed_min","observed_max","baseline_n","baseline_mean","baseline_sd","mmrm_estimate","standard_error","confidence_interval","degrees_of_freedom","statistic","p_value","covariance_used"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2005","37","0.103","0.826","0.000","-1.600","2.800","37","0.378","0.708","0.111","0.135","(-0.162, 0.385)","35.3","0.825","0.4149","UN"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2009","37","0.035","0.894","0.000","-1.300","3.300","37","0.392","0.705","0.056","0.139","(-0.226, 0.338)","35.3","0.403","0.6892","UN"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2013","36","0.064","1.004","0.000","-1.800","4.800","36","0.389","0.715","0.068","0.166","(-0.269, 0.405)","35.9","0.410","0.6844","UN"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2017","35","0.071","0.664","0.000","-0.800","2.500","35","0.300","0.483","0.085","0.111","(-0.141, 0.310)","35.1","0.762","0.4510","UN"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2021","31","0.226","0.900","0.000","-1.800","3.000","31","0.274","0.475","0.135","0.163","(-0.202, 0.472)","24.8","0.826","0.4165","UN"
"MMRM-03","T14-2-12-1-2","PAINPR","PAINPR","observed_with_mmrm","visit_lsmean","ALL","","2025","31","-0.019","0.691","0.000","-1.800","2.200","31","0.306","0.489","0.003","0.131","(-0.271, 0.276)","20.7","0.020","0.9841","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2005","43","0.033","0.652","0.000","-1.600","2.100","43","0.314","0.565","0.038","0.098","(-0.160, 0.236)","41.7","0.391","0.6979","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2009","44","0.057","0.722","0.000","-1.300","3.500","44","0.314","0.558","0.065","0.109","(-0.154, 0.285)","42.0","0.602","0.5506","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2013","42","0.031","0.546","0.000","-1.500","1.600","42","0.267","0.478","0.010","0.081","(-0.155, 0.174)","39.4","0.119","0.9056","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2017","40","0.032","0.680","0.000","-1.800","2.000","40","0.247","0.459","0.016","0.095","(-0.177, 0.209)","39.6","0.165","0.8701","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2021","37","-0.086","0.688","0.000","-1.500","2.000","37","0.262","0.473","-0.111","0.086","(-0.286, 0.064)","32.0","-1.296","0.2042","UN"
"MMRM-03","T14-2-12-1-2","PAINTE","PAINTE","observed_with_mmrm","visit_lsmean","ALL","","2025","39","0.033","0.732","0.000","-1.500","3.500","39","0.249","0.464","0.050","0.127","(-0.212, 0.312)","25.0","0.393","0.6980","UN"
