"study_id","analysis_id","tfl_id","tfl_type","title","scope_status","programming_language","binding_mode","program_file","program_sha256","execution_status","run_status","computational_risk","raw_output_file","final_tfl_file","diagnostic_file","run_record_file","plan_sha256","approval_payload_sha256","contract_sha256","expected_input_sha256","actual_input_sha256","collector_mode","collected_at_utc","note"
"fcn_159_002_luna","MMRM-01","T14-2-10-1-2","table","PedsQL生活质量量表观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","R","linked","studies/fcn_159_002_luna/analysis/r/MMRM-01.R","D5493AE482DC20F46E283A007B5A4C5B715A889406F8FD1A4B85DCB447AA88AF","executed","complete","Green","studies/fcn_159_002_luna/output/analyses/MMRM-01/T14-2-10-1-2_r_raw.csv","studies/fcn_159_002_luna/output/analyses/MMRM-01/T14-2-10-1-2_r_final.csv","studies/fcn_159_002_luna/output/analyses/MMRM-01/T14-2-10-1-2_r_diagnostic.csv","studies/fcn_159_002_luna/output/analyses/MMRM-01/T14-2-10-1-2_r_run_record.csv","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","run-and-collect","2026-08-26T02:32:56Z","collector 以固定路径接口运行 R 程序，退出码 0。"
"fcn_159_002_luna","MMRM-01","T14-2-10-1-2","table","PedsQL生活质量量表观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","SAS","linked","studies/fcn_159_002_luna/analysis/sas/MMRM-01.sas","FA94D759F1D766980C3F44C7A5FBCF950F673D99F1E0E522B1C4398EC96A02D9","program_generated_not_executed","not_run","Not assessed","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","","run-and-collect","2026-08-26T02:32:56Z","SAS 程序已生成但尚未由统计师在 SAS 环境中运行；collector 从不执行 SAS。"
"fcn_159_002_luna","MMRM-02","T14-2-11-2","table","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","R","linked","studies/fcn_159_002_luna/analysis/r/MMRM-02.R","D68C91172F1E3144E40A8DFF2F34F0BE60ED06F0A9FFF61F410F9134E05B2E82","executed","complete","Green","studies/fcn_159_002_luna/output/analyses/MMRM-02/T14-2-11-2_r_raw.csv","studies/fcn_159_002_luna/output/analyses/MMRM-02/T14-2-11-2_r_final.csv","studies/fcn_159_002_luna/output/analyses/MMRM-02/T14-2-11-2_r_diagnostic.csv","studies/fcn_159_002_luna/output/analyses/MMRM-02/T14-2-11-2_r_run_record.csv","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","run-and-collect","2026-08-26T02:32:56Z","collector 以固定路径接口运行 R 程序，退出码 0。"
"fcn_159_002_luna","MMRM-02","T14-2-11-2","table","疼痛强度观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","SAS","linked","studies/fcn_159_002_luna/analysis/sas/MMRM-02.sas","17ED60011C47C6CE4ACFEE503A1803AF4779111F17BF37F30677BDF1B1E81D20","program_generated_not_executed","not_run","Not assessed","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","","run-and-collect","2026-08-26T02:32:56Z","SAS 程序已生成但尚未由统计师在 SAS 环境中运行；collector 从不执行 SAS。"
"fcn_159_002_luna","MMRM-03","T14-2-12-1-2","table","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","R","linked","studies/fcn_159_002_luna/analysis/r/MMRM-03.R","0924FD64227684A6D0B615AAB84867A0D650665D72E68F49AB575A43BAAE35DE","executed","complete","Green","studies/fcn_159_002_luna/output/analyses/MMRM-03/T14-2-12-1-2_r_raw.csv","studies/fcn_159_002_luna/output/analyses/MMRM-03/T14-2-12-1-2_r_final.csv","studies/fcn_159_002_luna/output/analyses/MMRM-03/T14-2-12-1-2_r_diagnostic.csv","studies/fcn_159_002_luna/output/analyses/MMRM-03/T14-2-12-1-2_r_run_record.csv","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","run-and-collect","2026-08-26T02:32:56Z","collector 以固定路径接口运行 R 程序，退出码 0。"
"fcn_159_002_luna","MMRM-03","T14-2-12-1-2","table","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","SAS","linked","studies/fcn_159_002_luna/analysis/sas/MMRM-03.sas","29C53B543FDEEA683225452AFB3F3CABFB63774B2FFCA7AAE3DD947846521CBF","program_generated_not_executed","not_run","Not assessed","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","1BB5929DEAB16C36C1AE3872D6552E60C447E8336DDFD5FFF9CCA04C3B925ACE","","run-and-collect","2026-08-26T02:32:56Z","SAS 程序已生成但尚未由统计师在 SAS 环境中运行；collector 从不执行 SAS。"
"fcn_159_002_luna","MMRM-04","T14-2-13-1-2","table","肌力评估观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","R","linked","studies/fcn_159_002_luna/analysis/r/MMRM-04.R","E9061CD0B6151A80C1C4FC87E8F2CA15B94A16712E757EFE82AD2B1FD1F13D6F","failed","fit_failed","Red","","","studies/fcn_159_002_luna/output/analyses/MMRM-04/T14-2-13-1-2_r_diagnostic.csv","studies/fcn_159_002_luna/output/analyses/MMRM-04/T14-2-13-1-2_r_run_record.csv","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","run-and-collect","2026-08-26T02:32:56Z","collector 以固定路径接口运行 R 程序，退出码 1。"
"fcn_159_002_luna","MMRM-04","T14-2-13-1-2","table","肌力评估观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","SAS","linked","studies/fcn_159_002_luna/analysis/sas/MMRM-04.sas","6A749A62A53A834968DD2062010368D9716F19B9E01D188FC163442CB4BB687C","program_generated_not_executed","not_run","Not assessed","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","","run-and-collect","2026-08-26T02:32:56Z","SAS 程序已生成但尚未由统计师在 SAS 环境中运行；collector 从不执行 SAS。"
"fcn_159_002_luna","MMRM-05","T14-2-14-1-2","table","关节活动范围评估观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","R","linked","studies/fcn_159_002_luna/analysis/r/MMRM-05.R","51463C704D10DDF16F0AE59A2D5B1A3978B13D5E765D8D5553D54F3E34BA0DCD","blocked","unknown","Red","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","","run-and-collect","2026-08-26T02:32:56Z","R 程序以退出码 1 结束且未写出 run record；结果路径留空。"
"fcn_159_002_luna","MMRM-05","T14-2-14-1-2","table","关节活动范围评估观测值及相对基线变化-MMRM-汇总（COA分析集）","approved","SAS","linked","studies/fcn_159_002_luna/analysis/sas/MMRM-05.sas","3C0AD97EB7FD68F25916FC8E1A1F0D38D842C4F6EBFEC279F785AB4399823009","program_generated_not_executed","not_run","Not assessed","","","","","390B7B6FD8B1F9389611F96A609A10A6D68156D35E447E9DEC61A4C209E22EB0","DF5328CC62FACE241492B58C1CAA6462E43F919709F0D924CFEE5B91BA6BB4AF","59C6ED60E9EFF09D9D0F7CE20F7B7688B29EA1842AD44BB6FBA1881BF8806EC6","FD7577DA53D2C129B3C6A3B2DD41387FD05F9A9824601023C9D16FB4C357708D","","run-and-collect","2026-08-26T02:32:56Z","SAS 程序已生成但尚未由统计师在 SAS 环境中运行；collector 从不执行 SAS。"
